denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Villalba,,,,,,51.0,,,2021-08-10
altreProvince,,1.0,,,,56.0,29.0,,2021-08-10
Acquaviva Platani,,,,,,42,,,2021-08-12
Bompensiere,,,,,,34,1,,2021-08-12
Butera,,,7,,,109,,,2021-08-12
Caltanissetta,,6,89,,,2695,44,1,2021-08-12
Campofranco,,,29,,,47,2,,2021-08-12
Delia,,1,9,,,85,2,,2021-08-12
Gela,,12,714,1,,4940,84,,2021-08-12
Marianopoli,,,,,,72,3,,2021-08-12
Mazzarino,,2,111,1,,701,5,,2021-08-12
Milena,,,2,,,154,6,,2021-08-12
Montedoro,,1,,,,84,3,,2021-08-12
Mussomeli,,1,9,,,332,4,1,2021-08-12
Niscemi,,9,349,1,,1503,26,,2021-08-12
Resuttano,,,3,,,83,,,2021-08-12
Riesi,,6,67,,,645,7,,2021-08-12
San Cataldo,,2,19,,,901,16,,2021-08-12
Santa Caterina Villarmosa,,1,29,,,194,1,,2021-08-12
Serradifalco,,,9,,,272,4,,2021-08-12
Sommatino,,4,22,1,,133,3,,2021-08-12
Sutera,,,,,,5,,,2021-08-12
Vallelunga Pratameno,,,3,,,78,,,2021-08-12
Villalba,,,,,,51,,,2021-08-12
altreProvince,,3,,,,56,29,,2021-08-12
Acquaviva Platani,,,,,,42.0,,,2021-08-13
Bompensiere,,,,,,34.0,1.0,,2021-08-13
Butera,,,7.0,,,110.0,,,2021-08-13
Caltanissetta,,6.0,93.0,,,2702.0,44.0,1.0,2021-08-13
Campofranco,,,33.0,,,47.0,2.0,,2021-08-13
Delia,,1.0,9.0,,,85.0,2.0,,2021-08-13
Gela,,12.0,657.0,1.0,,5037.0,84.0,,2021-08-13
Marianopoli,,,,,,72.0,3.0,,2021-08-13
Mazzarino,,2.0,95.0,1.0,,723.0,5.0,,2021-08-13
Milena,,,2.0,,,154.0,6.0,,2021-08-13
Montedoro,,1.0,,,,84.0,3.0,,2021-08-13
Mussomeli,,1.0,10.0,,,332.0,4.0,1.0,2021-08-13
Niscemi,,10.0,361.0,1.0,,1505.0,26.0,,2021-08-13
Resuttano,,,3.0,,,83.0,,,2021-08-13
Riesi,,5.0,57.0,,,660.0,7.0,,2021-08-13
San Cataldo,,2.0,19.0,,,903.0,16.0,,2021-08-13
Santa Caterina Villarmosa,,2.0,28.0,,,194.0,1.0,,2021-08-13
Serradifalco,,1.0,8.0,,,272.0,4.0,,2021-08-13
Sommatino,,4.0,22.0,1.0,,133.0,3.0,,2021-08-13
Sutera,,,,,,5.0,,,2021-08-13
Vallelunga Pratameno,,,3.0,,,78.0,,,2021-08-13
Villalba,,,,,,51.0,,,2021-08-13
altreProvince,,2.0,,,,56.0,29.0,,2021-08-13
Acquaviva Platani,,,,,,42.0,,,2021-08-14
Bompensiere,,,,,,34.0,1.0,,2021-08-14
Butera,,,8.0,,,110.0,,,2021-08-14
Caltanissetta,,6.0,96.0,,,2706.0,44.0,1.0,2021-08-14
Campofranco,,,37.0,,,47.0,2.0,,2021-08-14
Delia,,1.0,7.0,,,87.0,2.0,,2021-08-14
Gela,,11.0,667.0,1.0,,5054.0,85.0,,2021-08-14
Marianopoli,,,,,,72.0,3.0,,2021-08-14
Mazzarino,,2.0,84.0,1.0,,735.0,5.0,,2021-08-14
Milena,,,2.0,,,154.0,6.0,,2021-08-14
Montedoro,,1.0,,,,84.0,3.0,,2021-08-14
Mussomeli,,1.0,10.0,,,332.0,4.0,1.0,2021-08-14
Niscemi,,11.0,420.0,1.0,,1509.0,26.0,,2021-08-14
Resuttano,,,3.0,,,83.0,,,2021-08-14
Riesi,,5.0,55.0,,,663.0,7.0,,2021-08-14
San Cataldo,,2.0,20.0,,,904.0,16.0,,2021-08-14
Santa Caterina Villarmosa,,3.0,33.0,,,195.0,1.0,,2021-08-14
Serradifalco,,1.0,7.0,,,273.0,4.0,,2021-08-14
Sommatino,,4.0,20.0,1.0,,135.0,3.0,,2021-08-14
Sutera,,,,,,5.0,,,2021-08-14
Vallelunga Pratameno,,,3.0,,,78.0,,,2021-08-14
Villalba,,,,,,51.0,,,2021-08-14
altreProvince,,2.0,,,,56.0,29.0,,2021-08-14
Acquaviva Platani,,,,,,42.0,,,2021-08-15
Bompensiere,,,,,,34.0,1.0,,2021-08-15
Butera,,,6.0,,,112.0,,,2021-08-15
Caltanissetta,,6.0,97.0,,,2706.0,44.0,1.0,2021-08-15
Campofranco,,,37.0,,,47.0,2.0,,2021-08-15
Delia,,,7.0,,,87.0,3.0,,2021-08-15
Gela,,11.0,639.0,1.0,,5084.0,85.0,,2021-08-15
Marianopoli,,,,,,72.0,3.0,,2021-08-15
Mazzarino,,2.0,82.0,1.0,,737.0,5.0,,2021-08-15
Milena,,,2.0,,,154.0,6.0,,2021-08-15
Montedoro,,1.0,,,,84.0,3.0,,2021-08-15
Mussomeli,,1.0,10.0,,,332.0,4.0,1.0,2021-08-15
Niscemi,1.0,12.0,416.0,1.0,,1511.0,26.0,,2021-08-15
Resuttano,,,3.0,,,83.0,,,2021-08-15
Riesi,,5.0,51.0,,,667.0,7.0,,2021-08-15
San Cataldo,,2.0,19.0,,,905.0,16.0,,2021-08-15
Santa Caterina Villarmosa,,3.0,33.0,,,195.0,1.0,,2021-08-15
Serradifalco,,1.0,7.0,,,273.0,4.0,,2021-08-15
Sommatino,,5.0,20.0,1.0,,135.0,3.0,,2021-08-15
Sutera,,,,,,5.0,,,2021-08-15
Vallelunga Pratameno,,,3.0,,,78.0,,,2021-08-15
Villalba,,,,,,51.0,,,2021-08-15
altreProvince,,2.0,,,,56.0,29.0,,2021-08-15
Acquaviva Platani,,,,,,42,,,2021-08-16
Bompensiere,,,,,,34,1,,2021-08-16
Butera,,,11,,,112,,,2021-08-16
Caltanissetta,,7,98,,,2707,44,1,2021-08-16
Campofranco,,,38,,,47,2,,2021-08-16
Delia,,,8,,,87,3,,2021-08-16
Gela,,12,635,1,,5098,85,,2021-08-16
Marianopoli,,,,,,72,3,,2021-08-16
Mazzarino,,2,79,1,,740,5,,2021-08-16
Milena,,,2,,,154,6,,2021-08-16
Montedoro,,1,,,,84,3,,2021-08-16
Mussomeli,,1,10,,,332,4,1,2021-08-16
Niscemi,1,12,447,1,,1518,26,,2021-08-16
Resuttano,,,3,,,83,,,2021-08-16
Riesi,,5,57,,,670,7,,2021-08-16
San Cataldo,,2,22,,,906,16,,2021-08-16
Santa Caterina Villarmosa,,4,36,,,197,1,,2021-08-16
Serradifalco,,1,7,,,273,4,,2021-08-16
Sommatino,,5,21,1,,135,3,,2021-08-16
Sutera,,,,,,5,,,2021-08-16
Vallelunga Pratameno,,,4,,,78,,,2021-08-16
Villalba,,,,,,51,,,2021-08-16
altreProvince,,2,,,,56,29,,2021-08-16
Acquaviva Platani,,,,,,42,,,2021-08-17
Bompensiere,,,,,,34,1,,2021-08-17
Butera,,,11,,,112,,,2021-08-17
Caltanissetta,,7,106,,,2710,45,1,2021-08-17
Campofranco,,,43,,,47,2,,2021-08-17
Delia,,,8,,,89,3,,2021-08-17
Gela,,12,636,1,,5139,85,,2021-08-17
Marianopoli,,,,,,72,3,,2021-08-17
Mazzarino,,2,73,1,,749,5,,2021-08-17
Milena,,,2,,,154,6,,2021-08-17
Montedoro,,1,,,,84,3,,2021-08-17
Mussomeli,,2,15,,,333,4,1,2021-08-17
Niscemi,1,12,494,1,,1532,26,,2021-08-17
Resuttano,,,3,,,83,,,2021-08-17
Riesi,,5,57,,,670,7,,2021-08-17
San Cataldo,,2,22,,,906,16,,2021-08-17
Santa Caterina Villarmosa,,4,36,,,197,1,,2021-08-17
Serradifalco,,1,5,,,275,4,,2021-08-17
Sommatino,,5,26,1,,135,3,,2021-08-17
Sutera,,,,,,5,,,2021-08-17
Vallelunga Pratameno,,,4,,,78,,,2021-08-17
Villalba,,,,,,51,,,2021-08-17
altreProvince,,2,,,,56,29,,2021-08-17
Acquaviva Platani,,,,,,42,,,2021-08-18
Bompensiere,,,,,,34,1,,2021-08-18
Butera,,,19,,,112,,,2021-08-18
Caltanissetta,,8,111,,,2715,45,1,2021-08-18
Campofranco,,,45,,,47,2,,2021-08-18
Delia,,,7,,,90,3,,2021-08-18
Gela,,14,629,1,,5176,85,,2021-08-18
Marianopoli,,,,,,72,3,,2021-08-18
Mazzarino,,2,73,1,,755,5,,2021-08-18
Milena,,,2,,,154,6,,2021-08-18
Montedoro,,1,,,,84,3,,2021-08-18
Mussomeli,,2,17,,,333,4,1,2021-08-18
Niscemi,1,13,523,1,,1541,27,,2021-08-18
Resuttano,,,3,,,83,,,2021-08-18
Riesi,1,4,53,,,679,7,,2021-08-18
San Cataldo,,,24,,,906,16,,2021-08-18
Santa Caterina Villarmosa,,4,36,,,197,1,,2021-08-18
Serradifalco,,1,5,,,275,4,,2021-08-18
Sommatino,,3,28,1,,135,3,,2021-08-18
Sutera,,,,,,5,,,2021-08-18
Vallelunga Pratameno,,,4,,,78,,,2021-08-18
Villalba,,,,,,51,,,2021-08-18
altreProvince,,2,,,,56,29,,2021-08-18
Acquaviva Platani,,,,,,42,,,2021-08-19
Bompensiere,,,,,,34,1,,2021-08-19
Butera,,,19,,,112,,,2021-08-19
Caltanissetta,,6,117,,,2717,46,1,2021-08-19
Campofranco,,,46,,,47,2,,2021-08-19
Delia,,,7,,,90,3,,2021-08-19
Gela,,14,603,1,,5226,85,,2021-08-19
Marianopoli,,,,,,72,3,,2021-08-19
Mazzarino,,3,73,1,,761,5,,2021-08-19
Milena,,,2,,,154,6,,2021-08-19
Montedoro,,,,,,84,4,,2021-08-19
Mussomeli,,2,16,,,334,4,1,2021-08-19
Niscemi,3,13,601,,,1546,27,,2021-08-19
Resuttano,,,3,,,83,,,2021-08-19
Riesi,1,4,51,,,682,7,,2021-08-19
San Cataldo,,,24,,,906,16,,2021-08-19
Santa Caterina Villarmosa,,4,44,,,200,1,,2021-08-19
Serradifalco,,1,5,,,275,4,,2021-08-19
Sommatino,,3,24,1,,140,3,,2021-08-19
Sutera,,,,,,5,,,2021-08-19
Vallelunga Pratameno,,,4,,,78,,,2021-08-19
Villalba,,,,,,51,,,2021-08-19
altreProvince,,2,,,,56,29,,2021-08-19
Acquaviva Platani,,,,,,42,,,2021-08-20
Bompensiere,,,,,,34,1,,2021-08-20
Butera,,,21,,,112,,,2021-08-20
Caltanissetta,,8,125,,,2718,46,1,2021-08-20
Campofranco,,,49,,,47,2,,2021-08-20
Delia,,,7,,,90,3,,2021-08-20
Gela,,14,592,1,,5266,85,,2021-08-20
Marianopoli,,,,,,72,3,,2021-08-20
Mazzarino,,3,71,1,,763,5,,2021-08-20
Milena,,,2,,,155,6,,2021-08-20
Montedoro,,,,,,84,4,,2021-08-20
Mussomeli,,2,15,,,336,4,1,2021-08-20
Niscemi,3,13,641,,,1553,27,,2021-08-20
Resuttano,,,3,,,83,,,2021-08-20
Riesi,1,4,56,,,682,7,,2021-08-20
San Cataldo,,,24,,,906,16,,2021-08-20
Santa Caterina Villarmosa,,3,49,,,200,1,,2021-08-20
Serradifalco,,,5,,,276,4,,2021-08-20
Sommatino,,4,26,1,,140,3,,2021-08-20
Sutera,,,,,,5,,,2021-08-20
Vallelunga Pratameno,,,4,,,78,,,2021-08-20
Villalba,,,,,,51,,,2021-08-20
altreProvince,,1,,,,56,29,,2021-08-20
Acquaviva Platani,,,,,,42,,,2021-08-21
Bompensiere,,,,,,34,1,,2021-08-21
Butera,,,21,,,112,,,2021-08-21
Caltanissetta,,9,128,,,2725,46,1,2021-08-21
Campofranco,,,51,,,51,3,,2021-08-21
Delia,,,6,,,92,3,,2021-08-21
Gela,1,13,583,1,,5299,85,,2021-08-21
Marianopoli,,,,,,72,3,,2021-08-21
Mazzarino,,2,71,1,,764,5,,2021-08-21
Milena,,,2,,,155,6,,2021-08-21
Montedoro,,,,,,84,4,,2021-08-21
Mussomeli,,2,16,,,336,4,1,2021-08-21
Niscemi,2,16,667,,,1562,27,,2021-08-21
Resuttano,,,3,,,83,,,2021-08-21
Riesi,1,3,51,,,689,7,,2021-08-21
San Cataldo,,,26,,,906,16,,2021-08-21
Santa Caterina Villarmosa,,2,49,1,,200,1,,2021-08-21
Serradifalco,,,5,,,276,4,,2021-08-21
Sommatino,,3,31,1,,140,3,,2021-08-21
Sutera,,,,,,5,,,2021-08-21
Vallelunga Pratameno,,,4,,,78,,,2021-08-21
Villalba,,,,,,51,,,2021-08-21
altreProvince,,3,,,,56,29,,2021-08-21
Acquaviva Platani,,,,,,42,,,2021-08-22
Bompensiere,,,,,,34,1,,2021-08-22
Butera,,,22,,,112,,,2021-08-22
Caltanissetta,,8,131,,,2727,47,1,2021-08-22
Campofranco,,,51,,,51,3,,2021-08-22
Delia,,,5,,,93,3,,2021-08-22
Gela,1,15,604,1,,5326,85,,2021-08-22
Marianopoli,,,,,,72,3,,2021-08-22
Mazzarino,,2,61,1,,774,5,,2021-08-22
Milena,,,2,,,155,6,,2021-08-22
Montedoro,,,,,,84,4,,2021-08-22
Mussomeli,,2,15,,,337,4,1,2021-08-22
Niscemi,2,16,690,,,1568,28,,2021-08-22
Resuttano,,,3,,,83,,,2021-08-22
Riesi,1,3,53,,,690,7,,2021-08-22
San Cataldo,,,22,,,913,16,,2021-08-22
Santa Caterina Villarmosa,,1,49,1,,201,2,,2021-08-22
Serradifalco,,,7,,,276,4,,2021-08-22
Sommatino,,3,39,1,,140,3,,2021-08-22
Sutera,,,,,,5,,,2021-08-22
Vallelunga Pratameno,,,3,,,79,,,2021-08-22
Villalba,,,,,,51,,,2021-08-22
altreProvince,,4,,,,56,29,,2021-08-22
Acquaviva Platani,,,,,,42,,,2021-08-23
Bompensiere,,,,,,34,1,,2021-08-23
Butera,,,23,,,112,,,2021-08-23
Caltanissetta,,9,161,,,2729,47,1,2021-08-23
Campofranco,,,52,,,52,3,,2021-08-23
Delia,,,5,,,93,3,,2021-08-23
Gela,1,17,632,1,,5340,85,,2021-08-23
Marianopoli,,,,,,72,3,,2021-08-23
Mazzarino,,2,62,1,,775,5,,2021-08-23
Milena,,,2,,,155,6,,2021-08-23
Montedoro,,,,,,84,4,,2021-08-23
Mussomeli,,1,16,,,338,4,1,2021-08-23
Niscemi,2,16,724,1,,1592,28,,2021-08-23
Resuttano,,,3,,,83,,,2021-08-23
Riesi,1,4,53,,,690,7,,2021-08-23
San Cataldo,,,22,,,913,16,,2021-08-23
Santa Caterina Villarmosa,,1,49,1,,201,2,,2021-08-23
Serradifalco,,,7,,,276,4,,2021-08-23
Sommatino,,3,41,1,,141,3,,2021-08-23
Sutera,,,,,,5,,,2021-08-23
Vallelunga Pratameno,,,3,,,79,,,2021-08-23
Villalba,,,,,,51,,,2021-08-23
altreProvince,,3,,,,56,29,,2021-08-23
Acquaviva Platani,,,,,,42,,,2021-08-24
Bompensiere,,,,,,34,1,,2021-08-24
Butera,,,24,,,112,,,2021-08-24
Caltanissetta,,8,156,,,2739,47,1,2021-08-24
Campofranco,,,48,,,57,3,,2021-08-24
Delia,,,5,,,93,3,,2021-08-24
Gela,1,14,609,1,,5393,85,,2021-08-24
Marianopoli,,,,,,72,3,,2021-08-24
Mazzarino,,3,56,1,,781,5,,2021-08-24
Milena,,,2,,,155,6,,2021-08-24
Montedoro,,,,,,84,4,,2021-08-24
Mussomeli,,1,22,,,338,4,1,2021-08-24
Niscemi,2,17,729,1,,1621,28,,2021-08-24
Resuttano,,,2,,,84,,,2021-08-24
Riesi,1,4,51,,,693,7,,2021-08-24
San Cataldo,,,25,,,914,16,,2021-08-24
Santa Caterina Villarmosa,,1,43,1,,208,2,,2021-08-24
Serradifalco,,,8,,,276,4,,2021-08-24
Sommatino,,4,36,1,,146,3,,2021-08-24
Sutera,,,,,,5,,,2021-08-24
Vallelunga Pratameno,,,4,,,79,,,2021-08-24
Villalba,,,,,,51,,,2021-08-24
altreProvince,,3,,,,56,29,,2021-08-24
Acquaviva Platani,,,,,,42,,,2021-08-25
Bompensiere,,,,,,34,1,,2021-08-25
Butera,,,22,,,115,,,2021-08-25
Caltanissetta,,9,159,,,2739,47,1,2021-08-25
Campofranco,,,52,,,58,3,,2021-08-25
Delia,,,5,,,93,3,,2021-08-25
Gela,1,13,602,1,,5408,85,,2021-08-25
Marianopoli,,,,,,72,3,,2021-08-25
Mazzarino,,2,57,1,,781,5,,2021-08-25
Milena,,,2,,,155,6,,2021-08-25
Montedoro,,,,,,84,4,,2021-08-25
Mussomeli,,1,24,,,338,4,1,2021-08-25
Niscemi,2,19,755,1,,1647,28,,2021-08-25
Resuttano,,,2,,,84,,,2021-08-25
Riesi,1,3,50,,,698,7,,2021-08-25
San Cataldo,,,32,,,914,16,,2021-08-25
Santa Caterina Villarmosa,,1,43,1,,208,2,,2021-08-25
Serradifalco,,,13,,,276,4,,2021-08-25
Sommatino,,4,39,1,,146,3,,2021-08-25
Sutera,,,,,,5,,,2021-08-25
Vallelunga Pratameno,,1,4,,,79,,,2021-08-25
Villalba,,,,,,51,,,2021-08-25
altreProvince,,3,,,,56,29,,2021-08-25
Acquaviva Platani,,,,,,42,,,2021-08-28
Bompensiere,,,,,,34,1,,2021-08-28
Butera,,,28,,,115,,,2021-08-28
Caltanissetta,,12,181,,,2764,47,1,2021-08-28
Campofranco,,,60,,,66,3,,2021-08-28
Delia,,1,4,,,93,3,,2021-08-28
Gela,1,13,565,1,,5513,87,,2021-08-28
Marianopoli,,,,,,72,3,,2021-08-28
Mazzarino,,2,53,1,,793,5,,2021-08-28
Milena,,,2,,,155,6,,2021-08-28
Montedoro,,,,,,84,4,,2021-08-28
Mussomeli,,,30,,,343,4,1,2021-08-28
Niscemi,2,18,755,,,1731,29,,2021-08-28
Resuttano,,,2,,,84,,,2021-08-28
Riesi,1,1,50,,,701,7,,2021-08-28
San Cataldo,,,39,,,917,16,,2021-08-28
Santa Caterina Villarmosa,,,44,1,,215,2,,2021-08-28
Serradifalco,,1,24,,,279,4,,2021-08-28
Sommatino,,1,39,,,156,4,,2021-08-28
Sutera,,,,,,5,,,2021-08-28
Vallelunga Pratameno,,1,3,,,80,,,2021-08-28
Villalba,,,,,,51,,,2021-08-28
altreProvince,,3,,,,56,30,,2021-08-28
Acquaviva Platani,,,,,,42,,,2021-08-29
Bompensiere,,,,,,34,1,,2021-08-29
Butera,,,27,,,116,,,2021-08-29
Caltanissetta,,13,201,,,2773,47,1,2021-08-29
Campofranco,,,60,,,66,3,,2021-08-29
Delia,,1,4,,,93,3,,2021-08-29
Gela,1,13,566,1,,5548,87,,2021-08-29
Marianopoli,,,,,,72,3,,2021-08-29
Mazzarino,,2,46,1,,800,5,,2021-08-29
Milena,,,2,,,155,6,,2021-08-29
Montedoro,,,,,,84,4,,2021-08-29
Mussomeli,,,27,,,346,4,1,2021-08-29
Niscemi,2,20,771,,,1762,29,,2021-08-29
Resuttano,,,2,,,84,,,2021-08-29
Riesi,1,3,45,,,705,7,,2021-08-29
San Cataldo,,,42,,,918,16,,2021-08-29
Santa Caterina Villarmosa,,,40,1,,219,2,,2021-08-29
Serradifalco,,1,23,,,281,4,,2021-08-29
Sommatino,,,48,1,,159,4,,2021-08-29
Sutera,,,,,,5,,,2021-08-29
Vallelunga Pratameno,,1,3,,,80,,,2021-08-29
Villalba,,,,,,51,,,2021-08-29
altreProvince,,2,,,,56,30,,2021-08-29
Acquaviva Platani,,,,,,42,,,2021-08-30
Bompensiere,,,,,,34,1,,2021-08-30
Butera,,,27,,,118,,,2021-08-30
Caltanissetta,,14,200,,,2775,47,1,2021-08-30
Campofranco,,,60,,,66,3,,2021-08-30
Delia,,1,2,,,95,3,,2021-08-30
Gela,1,12,540,1,,5602,87,,2021-08-30
Marianopoli,,,,,,72,3,,2021-08-30
Mazzarino,,2,44,1,,802,5,,2021-08-30
Milena,,,1,,,156,6,,2021-08-30
Montedoro,,,,,,84,4,,2021-08-30
Mussomeli,,,27,,,346,4,1,2021-08-30
Niscemi,2,17,760,,,1818,30,,2021-08-30
Resuttano,,,2,,,84,,,2021-08-30
Riesi,1,2,39,,,712,7,,2021-08-30
San Cataldo,,,41,,,919,16,,2021-08-30
Santa Caterina Villarmosa,,,36,1,,223,2,,2021-08-30
Serradifalco,,1,23,,,281,4,,2021-08-30
Sommatino,,,47,1,,162,4,,2021-08-30
Sutera,,,,,,5,,,2021-08-30
Vallelunga Pratameno,,1,3,,,80,,,2021-08-30
Villalba,,,,,,51,,,2021-08-30
altreProvince,,2,,,,56,30,,2021-08-30
Acquaviva Platani,,,,,,42,,,2021-08-31
Bompensiere,,,,,,34,1,,2021-08-31
Butera,,,27,,,118,,,2021-08-31
Caltanissetta,,14,184,,,2797,47,1,2021-08-31
Campofranco,,,51,,,75,3,,2021-08-31
Delia,,1,2,,,95,3,,2021-08-31
Gela,1,12,544,1,,5618,87,,2021-08-31
Marianopoli,,,,,,72,3,,2021-08-31
Mazzarino,,2,45,1,,810,5,,2021-08-31
Milena,,,1,,,156,6,,2021-08-31
Montedoro,,,,,,84,4,,2021-08-31
Mussomeli,,,29,,,347,4,1,2021-08-31
Niscemi,2,18,732,,,1853,30,,2021-08-31
Resuttano,,,2,,,84,,,2021-08-31
Riesi,1,2,39,,,712,7,,2021-08-31
San Cataldo,,,36,,,924,16,,2021-08-31
Santa Caterina Villarmosa,,,32,1,,227,2,,2021-08-31
Serradifalco,,1,22,,,282,4,,2021-08-31
Sommatino,,,46,1,,166,4,,2021-08-31
Sutera,,,,,,5,,,2021-08-31
Vallelunga Pratameno,,1,3,,,80,,,2021-08-31
Villalba,,,,,,51,,,2021-08-31
altreProvince,,3,,,,56,30,,2021-08-31
Acquaviva Platani,,,1,,,42,,,2021-09-01
Bompensiere,,,,,,34,1,,2021-09-01
Butera,,,24,,,122,,,2021-09-01
Caltanissetta,,15,174,,,2814,47,1,2021-09-01
Campofranco,,,49,,,78,3,,2021-09-01
Delia,,1,2,,,95,3,,2021-09-01
Gela,2,11,502,1,,5692,87,,2021-09-01
Marianopoli,,,,,,72,3,,2021-09-01
Mazzarino,,1,43,1,,817,5,,2021-09-01
Milena,,,1,,,156,6,,2021-09-01
Montedoro,,,,,,84,4,,2021-09-01
Mussomeli,,,29,,,347,4,1,2021-09-01
Niscemi,2,18,684,,,1941,31,,2021-09-01
Resuttano,,,2,,,84,,,2021-09-01
Riesi,,2,39,,,712,8,,2021-09-01
San Cataldo,,1,39,,,927,16,,2021-09-01
Santa Caterina Villarmosa,,,32,1,,227,2,,2021-09-01
Serradifalco,,1,22,,,282,4,,2021-09-01
Sommatino,,,46,1,,166,4,,2021-09-01
Sutera,,,,,,5,,,2021-09-01
Vallelunga Pratameno,,1,3,,,80,,,2021-09-01
Villalba,,,,,,51,,,2021-09-01
altreProvince,,3,,,,56,30,,2021-09-01
Acquaviva Platani,,,1,,,42,,,2021-09-03
Bompensiere,,,,,,34,1,,2021-09-03
Butera,,,18,,,128,,,2021-09-03
Caltanissetta,,13,155,,,2846,50,1,2021-09-03
Campofranco,,1,43,,,85,3,,2021-09-03
Delia,,1,1,,,96,3,,2021-09-03
Gela,2,10,439,,,5786,87,1,2021-09-03
Marianopoli,,,,,,72,3,,2021-09-03
Mazzarino,,1,39,,,823,5,1,2021-09-03
Milena,,,2,,,156,6,,2021-09-03
Montedoro,,,,,,84,4,,2021-09-03
Mussomeli,,,30,,,349,4,1,2021-09-03
Niscemi,2,18,596,,,2061,31,,2021-09-03
Resuttano,,,,,,86,,,2021-09-03
Riesi,,2,21,,,732,8,,2021-09-03
San Cataldo,,1,31,,,934,17,,2021-09-03
Santa Caterina Villarmosa,,,21,1,,244,2,,2021-09-03
Serradifalco,,1,25,,,282,4,,2021-09-03
Sommatino,,,45,1,,171,4,,2021-09-03
Sutera,,,,,,5,,,2021-09-03
Vallelunga Pratameno,,1,1,,,82,,,2021-09-03
Villalba,,,,,,51,,,2021-09-03
altreProvince,,4,,,,56,30,,2021-09-03
Acquaviva Platani,,,2,,,42,,,2021-09-04
Bompensiere,,,,,,34,1,,2021-09-04
Butera,,,19,,,130,,,2021-09-04
Caltanissetta,,13,162,,,2855,50,1,2021-09-04
Campofranco,,1,30,,,102,3,,2021-09-04
Delia,,,2,,,96,3,,2021-09-04
Gela,2,11,418,,,5836,87,1,2021-09-04
Marianopoli,,,,,,72,3,,2021-09-04
Mazzarino,,2,34,,,829,5,1,2021-09-04
Milena,,,2,,,156,6,,2021-09-04
Montedoro,,,,,,84,4,,2021-09-04
Mussomeli,,1,27,,,351,4,1,2021-09-04
Niscemi,2,19,568,,,2111,31,,2021-09-04
Resuttano,,,,,,86,,,2021-09-04
Riesi,,2,13,,,740,8,,2021-09-04
San Cataldo,,1,38,,,936,17,,2021-09-04
Santa Caterina Villarmosa,,,21,1,,244,2,,2021-09-04
Serradifalco,,1,24,,,283,4,,2021-09-04
Sommatino,,,45,1,,171,4,,2021-09-04
Sutera,,,,,,5,,,2021-09-04
Vallelunga Pratameno,,1,1,,,82,,,2021-09-04
Villalba,,,,,,51,,,2021-09-04
altreProvince,,3,,,,57,30,,2021-09-04
Acquaviva Platani,,,2,,,42,,,2021-09-05
Bompensiere,,,,,,34,1,,2021-09-05
Butera,,,18,,,134,,,2021-09-05
Caltanissetta,,13,159,,,2858,51,1,2021-09-05
Campofranco,,1,30,,,102,3,,2021-09-05
Delia,,,2,,,96,3,,2021-09-05
Gela,2,11,402,,,5875,87,1,2021-09-05
Marianopoli,,,,,,72,3,,2021-09-05
Mazzarino,,2,34,,,829,5,1,2021-09-05
Milena,,,2,,,156,6,,2021-09-05
Montedoro,,,,,,84,4,,2021-09-05
Mussomeli,,1,27,,,351,4,1,2021-09-05
Niscemi,2,16,541,,,2159,33,,2021-09-05
Resuttano,,,,,,86,,,2021-09-05
Riesi,,2,14,,,740,8,,2021-09-05
San Cataldo,,1,37,,,937,17,,2021-09-05
Santa Caterina Villarmosa,,,20,1,,245,2,,2021-09-05
Serradifalco,,1,23,,,284,4,,2021-09-05
Sommatino,,,44,1,,172,4,,2021-09-05
Sutera,,,,,,5,,,2021-09-05
Vallelunga Pratameno,,1,,,,83,,,2021-09-05
Villalba,,,,,,51,,,2021-09-05
altreProvince,,3,,,,57,30,,2021-09-05
Acquaviva Platani,,,2,,,42,,,2021-09-06
Bompensiere,,,,,,34,1,,2021-09-06
Butera,,,18,,,134,,,2021-09-06
Caltanissetta,,12,130,,,2893,51,1,2021-09-06
Campofranco,,1,28,,,104,3,,2021-09-06
Delia,,,2,,,96,3,,2021-09-06
Gela,2,12,376,,,5906,87,1,2021-09-06
Marianopoli,,,,,,72,3,,2021-09-06
Mazzarino,,2,34,,,829,5,1,2021-09-06
Milena,,,6,,,156,6,,2021-09-06
Montedoro,,,,,,84,4,,2021-09-06
Mussomeli,,1,27,,,353,4,1,2021-09-06
Niscemi,2,15,510,,,2202,33,,2021-09-06
Resuttano,,,,,,86,,,2021-09-06
Riesi,,2,12,,,742,8,,2021-09-06
San Cataldo,,1,38,,,937,17,,2021-09-06
Santa Caterina Villarmosa,,,19,1,,246,2,,2021-09-06
Serradifalco,,1,24,,,284,4,,2021-09-06
Sommatino,,,39,1,,177,4,,2021-09-06
Sutera,,,,,,5,,,2021-09-06
Vallelunga Pratameno,,1,,,,83,,,2021-09-06
Villalba,,,,,,51,,,2021-09-06
altreProvince,,4,,,,57,30,,2021-09-06
Acquaviva Platani,,,2.0,,,42.0,,,2021-09-07
Bompensiere,,,,,,34.0,1.0,,2021-09-07
Butera,,,25.0,,,135.0,,,2021-09-07
Caltanissetta,,12.0,127.0,,,2902.0,51.0,1.0,2021-09-07
Campofranco,,1.0,26.0,,,110.0,3.0,,2021-09-07
